@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10}

@data
66,'2016/07/31 16:11:44:831',2,7.176103,1724.050537,-41.534996,17.501526,-4.748375,4.772683,1.431516,-2.48332,0.46326,2.442569,1.29217,2.499337,0.03539,-2.735421,1.03694,-2.591347,0.170985,0.038673,-1.258188,0.44344,-0.70227,0.665213,0.566217,-0.447223,0.091467,0.64687,1
67,'2016/07/31 16:11:44:841',2,4.313995,2110.656494,-42.283791,16.210293,-5.139878,5.06452,1.199703,-3.152941,0.967711,2.840601,-0.150639,1.937708,-0.589578,-1.536452,1.826774,-2.035253,1.222992,0.421815,-1.132194,-0.123459,-0.932531,-0.005488,0.236617,-0.742048,0.110457,0.049929,1
68,'2016/07/31 16:11:44:851',2,3.87869,2171.633057,-44.230171,16.856678,-5.109534,4.962589,0.927617,-3.613344,1.239742,3.00672,0.800003,2.159615,-1.389685,-2.429212,1.171786,-1.931921,0.961858,0.413375,-1.017258,0.059854,-1.054446,0.51476,0.989591,-0.366305,-0.123999,-0.140295,1
69,'2016/07/31 16:11:44:861',2,3.004179,2272.866943,-43.546959,15.605114,-5.864799,5.651684,-0.163424,-4.145098,-0.133014,1.42621,0.715683,2.504127,-0.133158,-2.423035,0.597626,-1.394609,1.683797,1.214611,-1.157,-0.533203,-1.032228,0.541493,1.037727,-0.32149,-0.712079,0.220611,1
70,'2016/07/31 16:11:44:871',2,2.712807,2170.291992,-46.811943,15.541123,-7.135311,2.914858,-0.722556,-4.217884,1.081657,2.632072,1.119667,2.44081,-0.341483,-1.205321,1.910345,-1.562508,0.27669,0.096711,-0.521997,0.14276,-1.17514,0.696019,0.516094,-0.679416,0.167247,0.640831,1
71,'2016/07/31 16:11:44:881',2,3.261544,2198.041748,-44.400879,15.247684,-6.878518,3.045186,0.129873,-3.163657,0.923568,2.415656,0.350107,2.526477,0.866175,-1.074167,2.900141,-2.541037,0.429104,-0.036322,-1.480334,0.149993,-1.158265,0.21857,-0.056543,-0.617581,0.072573,0.341859,1
72,'2016/07/31 16:11:44:891',2,2.725467,2312.620117,-45.587826,16.139425,-5.840241,4.144989,0.262328,-3.699863,0.432014,2.370705,-0.191777,2.347225,0.341071,-1.713641,1.964682,-2.306342,0.004654,0.518015,-0.740786,0.410835,-0.90819,0.201685,0.307683,-0.137364,0.156853,0.335978,1
73,'2016/07/31 16:11:44:901',2,3.144117,2267.699219,-43.924862,15.904888,-6.130222,3.926296,0.130074,-4.380298,0.684922,2.57911,0.654963,2.178917,-0.322133,-1.569795,2.223272,-2.418284,0.578875,0.320657,-1.265581,0.480615,-0.73268,0.451962,0.580147,-0.18779,0.447874,0.317931,1
74,'2016/07/31 16:11:44:911',2,4.434988,1946.162231,-44.45768,16.622118,-5.137963,3.66526,-0.611296,-3.893684,-0.451676,3.033921,0.365852,2.464767,-1.074424,-2.278482,1.13629,-2.56184,0.839787,0.559585,-0.829468,0.130982,-1.209342,0.854148,0.945723,-0.550321,0.106,0.011171,1
75,'2016/07/31 16:11:44:921',2,3.809643,2033.918945,-42.750153,15.542259,-6.322802,3.709785,-0.478647,-4.303912,-1.512968,3.007566,0.18241,3.089887,-0.124598,-2.454591,1.59096,-2.598953,0.675237,0.53261,-0.981582,0.175037,-1.030111,0.912405,1.091022,-0.297674,0.020197,0.377196,1
